LANGUAGE,"English"
STR_OFP_DN_AMMO_CRATES_RES2,"Ammo Crates II (Res)"
STR_OFP_DN_AMMO_CRATES_RES,"Ammo Crates (Res)"

STR_OFP_DN_OUT_AMMO_CRATES_WP_WEST,"Ammo Crates (West,Weapon)"
STR_OFP_DN_OUT_AMMO_CRATES_WP_EAST,"Ammo Crates (East,Weapon)"
STR_OFP_DN_OUT_AMMO_CRATES_WP_RES,"Ammo Crates (Res,Weapon)"

STR_OFP_DN_AMMO_CRATES_ADD_WEST,"Ammo Crates (West,AddnOs)"
STR_OFP_DN_AMMO_CRATES_ADD_EAST,"Ammo Crates (East,AddOns)"

STR_OFP_DN_OUT_AMMO_CRATES_WEST,"Ammo Crates (West,Res)"
STR_OFP_DN_OUT_AMMO_CRATES_EAST,"Ammo Crates (East,Res)"
STR_OFP_DN_OUT_AMMO_CRATES_RES,"Ammo Crates (Res,Res)"

COMMENT,"Weapons display names"

STR_OFP_DN_6G30,"6G-30"
STR_OFP_DN_9K32,"9K32 Strela Launcher"
STR_OFP_DN_A10_LASER,"A10 (LGB)"
STR_OFP_DN_AA,"AA Launcher"
STR_OFP_DN_ADD_BIZON,"Bizon"
STR_OFP_DN_ADD_BIZON_MAG,"Bizon Mag."
STR_OFP_DN_ADD_G36,"G36"
STR_OFP_DN_ADD_G36_AMMO,"G36 Mag."
STR_OFP_DN_ADD_G36_AUTO,"G36 Full Auto"
STR_OFP_DN_ADD_G36_BURST,"G36 Burst"
STR_OFP_DN_ADD_STEYR,"Steyr Aug"
STR_OFP_DN_ADD_STEYR_AMMO,"Steyr Aug Mag."
STR_OFP_DN_ADD_XMS,"XM-177S"
STR_OFP_DN_ADD_XMS_AMMO,"XM-177S Mag."
STR_OFP_DN_AK47,"AK47"
STR_OFP_DN_AK47_AUTO,"AK47 Full Auto"
STR_OFP_DN_AK47_BURST,"AK47 Burst"
STR_OFP_DN_AK47_CZ,"AK47 CZ"
STR_OFP_DN_AK47_GRENADE,"AK47 + Grenades"
STR_OFP_DN_AK74,"AK74"
STR_OFP_DN_AK74_AUTO,"AK74 Full Auto"
STR_OFP_DN_AK74_BURST,"AK74 Burst"
STR_OFP_DN_AK74_GRENADE,"AK74 + Grenades"
STR_OFP_DN_AK74_SU,"AK74 SU"
STR_OFP_DN_APACHE_LASER,"AH-64 (LG)"
STR_OFP_DN_AT3,"AT3 Launcher"
STR_OFP_DN_AT4,"AT4 Launcher"
STR_OFP_DN_AT6,"AT6"
STR_OFP_DN_AZP23,"AZP-23"
STR_OFP_DN_BINOCULAR,"Binocular"
STR_OFP_DN_CARL_GUSTAV,"Carl Gustav Launcher"
STR_OFP_DN_CH29T,"Ch-29T"
STR_OFP_DN_COBRA_LASER,"AH-1 (LG)"
STR_OFP_DN_FFAR,"FFAR"
STR_OFP_DN_FIST,"Fist"
STR_OFP_DN_FLARE,"Flare"
STR_OFP_DN_FLARE_GREEN,"Flare (Green)"
STR_OFP_DN_FLARE_RED,"Flare (Red)"
STR_OFP_DN_FLARE_YELLOW,"Flare (Yellow)"
STR_OFP_DN_GRENADE,"Grenade"
STR_OFP_DN_GUN,"Gun"
STR_OFP_DN_HAND_GRENADE,"Hand Grenade"
STR_OFP_DN_HEAT,"Sabot"
STR_OFP_DN_HK,"HK"
STR_OFP_DN_HK_AUTO,"HK Full Auto"
STR_OFP_DN_HORN,"Horn"
STR_OFP_DN_LASER_BOMB,"GBU-24"
STR_OFP_DN_LAW,"LAW Launcher"
STR_OFP_DN_M16,"M16"
STR_OFP_DN_M16_BURST,"M16 Burst"
STR_OFP_DN_M16_GRENADE,"M16 + M203"
STR_OFP_DN_M203,"M203 Launcher"
STR_OFP_DN_M21,"M21"
STR_OFP_DN_M4,"XM-177E2"
STR_OFP_DN_M4_AUTO,"XM-177E2 Full Auto"
STR_OFP_DN_M60_MG,"M60"
STR_OFP_DN_MAVERICK,"Maverick"
STR_OFP_DN_MG30,"30mm Cannon"
STR_OFP_DN_MGUN,"MGun"
STR_OFP_DN_MINE,"Mine"
STR_OFP_DN_MM1,"MM-1"
STR_OFP_DN_MM1_MAG,"MM-1 Mag."
STR_OFP_DN_MORTAR_W,"Mortar"
STR_OFP_DN_NV_GOGGLES,"NV Goggles"
STR_OFP_DN_OUT_Beretta,"Beretta 92F"
STR_OFP_DN_OUT_Beretta_AMMO,"Beretta Mag."
STR_OFP_DN_OUT_CZ75,"CZ 75"
STR_OFP_DN_OUT_CZ75_AMMO,"CZ 75 Mag."
STR_OFP_DN_OUT_FAL,"FN-FAL"
STR_OFP_DN_OUT_FAL_AMMO,"FN-FAL Mag."
STR_OFP_DN_OUT_Glock,"Glock 17"
STR_OFP_DN_OUT_Glock_AMMO,"Glock Mag."
STR_OFP_DN_OUT_HKG3,"HK G3A4"
STR_OFP_DN_OUT_HKG3_AMMO,"HK G3A4 Mag."
STR_OFP_DN_OUT_Skorpion,"Sa61 Scorpion"
STR_OFP_DN_OUT_Skorpion_AMMO,"Scorpion Mag."
STR_OFP_DN_OUT_Tokarev,"Tokarev T33"
STR_OFP_DN_OUT_Tokarev_AMMO,"Tokarev T33 Mag."
STR_OFP_DN_OUT_UZI,"UZI"
STR_OFP_DN_OUT_UZI_AMMO,"UZI Mag."
STR_OFP_DN_PHONE,"Phone"
STR_OFP_DN_PIPE_BOMB,"Satchel Charges"
STR_OFP_DN_PK,"PK"
STR_OFP_DN_PUT,"Put"
STR_OFP_DN_RIFLE,"Rifle"
STR_OFP_DN_RIFLE_GRENADE,"Rifle + Grenades"
STR_OFP_DN_ROCKET_57,"57mm Rocket"
STR_OFP_DN_RPG,"RPG Nh-75 Launcher"
STR_OFP_DN_SHELL,"HEAT"
STR_OFP_DN_SMOKE,"Smoke Shell"
STR_OFP_DN_SMOKE_GREEN,"Smoke Shell (Green)"
STR_OFP_DN_SMOKE_RED,"Smoke Shell (Red)"
STR_OFP_DN_SNIPER_RIFFLE,"Sniper"
STR_OFP_DN_STRIKE,"Strike"
STR_OFP_DN_SVD,"SVD Dragunov"
STR_OFP_DN_THROW,"Throw"
STR_OFP_DN_TIME_BOMB,"Time bomb"
STR_OFP_DN_TOW,"TOW"
STR_OFP_MN_6G30,"6G-30 Mag."
STR_OFP_MN_9K32,"9K32 Strela"
STR_OFP_MN_AA,"AA"
STR_OFP_MN_AK47,"AK47 Mag."
STR_OFP_MN_AK74,"AK74 Mag."
STR_OFP_MN_AT3,"AT3"
STR_OFP_MN_AT4,"AT4"
STR_OFP_MN_AT6,"AT6"
STR_OFP_MN_AZP23,"AZP-23"
STR_OFP_MN_CARL_GUSTAV,"Carl Gustav"
STR_OFP_MN_CH29T,"Ch-29T"
STR_OFP_MN_FFAR,"FFAR"
STR_OFP_MN_FIST,"Fist"
STR_OFP_MN_FLARE,"Flare"
STR_OFP_MN_FLARE_GREEN,"Flare (Green)"
STR_OFP_MN_FLARE_RED,"Flare (Red)"
STR_OFP_MN_FLARE_YELLOW,"Flare (Yellow)"
STR_OFP_MN_GRENADE,"Grenade"
STR_OFP_MN_HAND_GRENADE,"Hand Grenade"
STR_OFP_MN_HEAT,"HEAT"
STR_OFP_MN_HK,"HK Mag."
STR_OFP_MN_LAW,"LAW"
STR_OFP_MN_M16,"M16 Mag."
STR_OFP_MN_M21,"M21 Mag."
STR_OFP_MN_M4,"XM-177E2 Mag."
STR_OFP_MN_M60_MG,"M60 Mag."
STR_OFP_MN_MAVERICK,"Maverick"
STR_OFP_MN_MG30,"30mm Cannon"
STR_OFP_MN_MGUN,"MGun"
STR_OFP_MN_MINE,"Mine"
STR_OFP_MN_MORTAR_W,"Mortar"
STR_OFP_MN_PIPE_BOMB,"Satchel Charges"
STR_OFP_MN_PK,"PK Mag."
STR_OFP_MN_RIFLE,"Rifle Mag."
STR_OFP_MN_ROCKET_57,"57mm Rocket"
STR_OFP_MN_RPG,"RPG Nh-75"
STR_OFP_MN_SHELL,"Sabot"
STR_OFP_MN_SMOKE,"Smoke Shell"
STR_OFP_MN_SMOKE_GREEN,"Smoke Shell (Green)"
STR_OFP_MN_SMOKE_RED,"Smoke Shell (Red)"
STR_OFP_MN_STRIKE,"Strike"
STR_OFP_MN_SVD,"SVD Dragunov Mag."
STR_OFP_MN_TIME_BOMB,"Time bomb"
STR_OFP_MN_TOW,"TOW"
STR_OFP_DN_MACHINE_GUN,"Machine gun"

STR_OFP_DN_ADD_WEAPPACK_SAW_SOLDIER,"Pilot (Hand Gun)"
STR_OFP_DN_ADD_WEAPPACK_INGRAM_SOLDIER,"Soldier (Hand Gun)"
STR_OFP_DN_ADD_WEAPPACK_GLOCKS_SOLDIER,"Black Op (Silenced)"

STR_OFP_DN_ADD_WEAPPACK_NAME,"Hunting Rifle"
STR_OFP_DN_ADD_WEAPPACK_MAG,"Hunting Rifle Mag."
STR_OFP_DN_ADD_WEAPPACK_MAG_SHORT,"Hunt.R.M."

STR_OFP_DN_ADD_WEAPPACK_SAW,"S&W"
STR_OFP_DN_ADD_WEAPPACK_SAW_AMMO,"S&W Mag."
STR_OFP_DN_ADD_WEAPPACK_SAW_AMMO_SHORT,"S&W"

STR_OFP_DN_ADD_WEAPPACK_INGRAM,"Ingram"
STR_OFP_DN_ADD_WEAPPACK_INGRAM_AMMO,"Ingram Mag."
STR_OFP_DN_ADD_WEAPPACK_INGRAM_AMMO_SHORT,"Ingram"
STR_OFP_DN_ADD_WEAPPACK_INGRAM_AUTO,"Ingram Full auto"
STR_OFP_DN_ADD_WEAPPACK_GLOCKS,"Glock 17S"
STR_OFP_DN_ADD_WEAPPACK_GLOCKS_AMMO,"Glock 17S Mag."
STR_OFP_DN_ADD_WEAPPACK_GLOCKS_AMMO_SHORT,"Gl.17S"

STR_OFP_DN_AT4_SNIPER,"AT Sniper"
STR_OFP_DN_BLACKOPDAY,"Black Op (day)"
STR_OFP_DN_HEAVYGRENW,"Heavy Grenadier"
STR_OFP_DN_LAW_SOLDIER,"LAW Soldier"
STR_OFP_DN_M1A1_AUTO,"M1A1 Auto"
STR_OFP_DN_MORTAR,"Mortar"
STR_OFP_DN_OUT_T80Res,"T80 (Resistance)"
STR_OFP_DN_OUT_T72Res,"T72 (Resistance)"
STR_OFP_DN_OUT_BMPRes,"BMP (Resistance)"
STR_OFP_DN_SOLDIERFAKE,"Soldier (E. uniform)"
STR_OFP_DN_T55,"T55"
STR_OFP_DN_T80_AUTO,"T80 Auto"

STR_OFP_DN_ANGELINA,"Angelina"
STR_OFP_DN_GENERAL,"General"
STR_OFP_DN_HEAVYGREN,"Heavy Grenadier"
STR_OFP_DN_RPG_SOLDIER,"RPG Soldier"

STR_OFP_DN_BLACKOP,"Black Op"
STR_OFP_DN_SPECNAS,"Spetz Natz"
STR_OFP_DN_ENGINEER,"Engineer"
STR_OFP_DN_CIVILFAKE,"Soldier (Civil)"
STR_OFP_DN_ESOLDIERFAKE,"Soldier (W. uniform)"
STR_OFP_DN_HUNTER,"Hunter"
STR_OFP_DN_OUT_OFFICERG,"Officer (Hand Gun)"
STR_OFP_DN_OUT_WOMAN1,"Woman 1"
STR_OFP_DN_OUT_WOMAN2,"Woman 2"
STR_OFP_DN_OUT_WOMAN3,"Woman 3"
STR_OFP_DN_OUT_WOMAN4,"Woman 4"
STR_OFP_DN_OUT_WOMAN5,"Woman 5"

STR_OFP_DN_TABLE,"Table"
STR_OFP_DN_TABLEMAP,"Table with map"
STR_OFP_DN_TABLE_PUB,"Table (pub)"
STR_OFP_DN_CHAIR,"Chair"
STR_OFP_DN_CHAIR_HANGAR,"Chair Hangar"
STR_OFP_DN_CHAIR_SMALL,"Chair Small"
STR_OFP_DN_DANGER,"Danger!"
STR_OFP_DN_CHAIR_X,"Chair X"
STR_OFP_DN_VIDEO,"Video Table"
STR_OFP_DN_RADIO,"Radio"
STR_OFP_DN_PHONEHANG,"Phone"
STR_OFP_DN_PHONEBASE,"Phone base"
STR_OFP_DN_CAMERA,"Camera"
STR_OFP_DN_COMPUTER,"Computer"
STR_OFP_DN_OUT_TABLEX,"Table"
STR_OFP_DN_OUT_TABLEMAP,"Table with map (Nogovo)"

STR_OFP_CREDITSN01,"Marek Spanil"
STR_OFP_CREDITSN02,"Ondrej Spanil\n Jiri Martinek"
STR_OFP_CREDITSN03,"Jan Hovora\nPetr Pechar\nKamila Clarova\nPetr ViSek\nKarel Matijka"
STR_OFP_CREDITSN04,"Viktor Bocan\nVojtich Novak\nAdam Bilek\nRobert Stipek\nTomaS Pulkrabek\nJan Kraml"
STR_OFP_CREDITSN05,"Stepan Kment\nMelanie Novotna"
STR_OFP_CREDITSN06,"Bohumil Trnka"
STR_OFP_CREDITSN07,"Ondrej Novak\nLuboS Pacal"
STR_OFP_CREDITSN08,"Ondrej Matijka"
STR_OFP_CREDITSN09,"Lifeless \n\nOverdose\nI’m Gonna Fly\nDecide"
STR_OFP_CREDITSN09a,"(Dedicated to memory of Sgt. Tom Birnie)"
STR_OFP_CREDITSN09b,"Composed by Lagettie / Reid and performed by \n\n\n(David Lagettie, Michael Reid, Luke Aldridge,\n Amy Dewhurst, Nathan Taylor)"
STR_OFP_CREDITSN09c,"Seventh"
STR_OFP_CREDITSN10,"Robert Stevenson\nOndrej Matijka\nBeaufort Clifton Addison III"
STR_OFP_CREDITSN11,"AndOne\nJames McKenzie-Smith\nJens Buescher\nKrzysztof Janicki\nMarc Racine\nRadan Doubrava\nSlavomir Pavlièek\nFernando Santamaria\nVladan Marek\nAdam Moore"

STR_OFP_CREDITS12,"Published by"
STR_OFP_CREDITS12a,"Developed by"
STR_OFP_CREDITS13,"External Producer"
STR_OFP_CREDITS14,"Design/Script"
STR_OFP_CREDITS15,"QA/Compatibility"
STR_OFP_CREDITS16,"Marketing/PR"
STR_OFP_CREDITS17,"Voice Processing"
STR_OFP_CREDITS18,"Voice Artists"
STR_OFP_CREDITS19,"Localisation"
STR_OFP_CREDITS20,"Localisation Testing"
STR_OFP_CREDITS21,"Business/Legal"
STR_OFP_CREDITS22,"Special Thanks"
STR_OFP_CREDITS23,"© 2001 Bohemia Interactive Studio and The Codemasters Software Company Limited. All rights reserved."
STR_OFP_CREDITS24,"Vinovano tim"

STR_OFP_CREDITSN13,"Richard I Blenkinsop"
STR_OFP_CREDITSN14,"Brian Coller\nHal Sandbach\nJames Brown\nJason Truman\nJonathan Davies\nJonathan Smith\nLaura Peterson\nSimon Smith"
STR_OFP_CREDITSN15,"Andrew Crabtree\nAnthony Cooper\nGary Cody\nGary Masters\nGhulam Khan\nJonathan Tainsh\nNeil Corbett\nPatrick Butler\nPaul Turland\nPeter Riley\nRichard Tysoe\nSam Chimes\nSimon Humphreys"
STR_OFP_CREDITSN16,"Adam Hance \nAlyson Fielding\nAndrea Matthews\nBruce Everiss\nChristopher Hines\nDavid Alcock\nDavid Solari\nEd Denson\nEmma Nichols\nHenry Cook\nJennifer Stubbs\nLiz Darling\nNick Pili\nNick McAuliffe\nNicky Veal\nSimon Reid"
STR_OFP_CREDITSN17,"Daniel Gardner\nLewis Griffin\nTim Bartlett"
STR_OFP_CREDITSN18,"Dan Russell\nGregg Brown\nJonah Lotan\nJulia Zagonek\nTed Maynard\nTom Clarke Hill\nVince Marzello\nYuri Stepanov"
STR_OFP_CREDITSN19,"Linda Fletcher"
STR_OFP_CREDITSN20,"Antonia Rodriguez\nRaphael Riolon\nSaverio Campione\nPeter Fränsemeier\nEmma Garcia"
STR_OFP_CREDITSN21,"Dean Trotman\nGary Rowe\nNav Sunner"
STR_OFP_CREDITSN22,"Alex Darby\nPeter Cardwell\nJoanne Chappell\nJohn Roberts\nJustin Forrest\nMat Thomas\nPete O'Donnell\nRich Eddy (Rocket Media)"

STR_OFP_CREDITS01,"Project Leader"
STR_OFP_CREDITS02,"Programming"
STR_OFP_CREDITS03,"Artwork"
STR_OFP_CREDITS04,"Design"
STR_OFP_CREDITS05,"Landscape Editing"
STR_OFP_CREDITS06,"Motion Capture Performance"
STR_OFP_CREDITS07,"Additional Tools Programming"
STR_OFP_CREDITS08,"Original Music Score"
STR_OFP_CREDITS09,"Additional Music Tracks"
STR_OFP_CREDITS10,"Sound Effects"
STR_OFP_CREDITS11,"Special Thanks"

STR_OFP_MAINTITLES_01,"CODEMASTERS"
STR_OFP_MAINTITLES_02,"PRESENTS"
STR_OFP_MAINTITLES_03,"A"
STR_OFP_MAINTITLES_04,"BOHEMIA INTERACTIVE"
STR_OFP_MAINTITLES_05,"PRODUCTION"
STR_OFP_MAINTITLES_06,"OPERATION FLASHPOINT"

STR_OFP_DN_CREDITSN01,"Viktor Bocan"
STR_OFP_DN_CREDITSN02,"Ondrej Spanil\n Jiri Martinek\nJosef Pelikan"
STR_OFP_DN_CREDITSN03,"Vojtich Novak\nTomaS Pulkrabek\nRobert Stipek"
STR_OFP_DN_CREDITSN04,"Petr Pechar\nPetr ViSek\nJan Hovora\nKamila Clarova\nRadan Doubrava\nLada Alsterova\nMartin Rajnoch\nFilip Zatloukal\nViktor Plch\nMartin Lisec"
STR_OFP_DN_CREDITSN05,"Adam Bilek\nStipan Kment"
STR_OFP_DN_CREDITSN06,"Bohumil Trnka"
STR_OFP_DN_CREDITSN07,"Ondrej Matijka\nNorbi Kovacs\nFlowshot"
STR_OFP_DN_CREDITSN08,"Naïa Adamkova\nJoris-Jan van 't Land\nBart van Paassen\nVladimir Nejedlý\nRick Miller\nRoman Lang\nTomaS Wanka\nPeter Fehér\nAdam Moore"
STR_OFP_DN_CREDITSN09,"Andrew Wafer\nJonathan Smith\nRichard Blenkinsop"
STR_OFP_DN_CREDITSN10,"Anthony Cooper\nGary Cody\nGerard McAuley\nJason Leppard\nMartin Hawkins\nMichael Rowland\nPaul Frary\nRaymond Tong\nSimon Humphreys"
STR_OFP_DN_CREDITSN11,"Amarjit Bilkhu\nCharlotte Brown\nChris Hines\nDave Alcock\nDavid Solari\nEmma Nicholls\nLiz Darling\nMark Stevens\nNicky Veal\nPaul Carnall"
STR_OFP_DN_CREDITSN12,"Daniel Gardner\nLewis Griffin\nOliver Johnson\nTim Bartlett"
STR_OFP_DN_CREDITSN13,"Linda Fletcher"
STR_OFP_DN_CREDITSN14,"© 2002 Bohemia Interactive Studio and The Codemasters Software Company Limited.\nAll rights reserved."

//STR_MP_MUTE,"<img image='\ca\ui\data\ui_action_open_ca.paa' size='4' />"
//STR_MP_UNMUTE,"<img image='\ca\ui\data\ui_action_close_ca.paa' size='4' />"
STR_STMAP_STREP,
STR_M01e2,
STR_DN_6G30,"6G30"
STR_M09r01,
STR_M09r02,
STR_M09r03,
STR_M09r04,
STR_M09r06,
STRC_T02a01,
STR_TO5w08,
STR_M03m04,
STR_M03w03,
STR_M03w04,
STR_03s01,
//STR_DN_OUT_BOMB,"Bomb"
STR_M01e1,
STR_VENDOR_PRICE_TITLE,
STR_DN_KING,"King"
STR_DN_PRIMEMINISTER,"Prime minister"
STR_DN_RADIO_OLD,"Radio"

STRWFBCLASSNAME,"Warfare Buildings"

STRWFBUNKNOWN,"Unknown Structure"
STRWFBCRATE,"Crate"

STRWFBDEPOT,"Depot"
STRWFBDEPOTGREEN,"Depot Green"
STRWFBDEPOTRED,"Depot Red"

STRWFBSMALLWALL,"Small Wall"
STRWFBMEDIUMWALL,"Medium Wall"
STRWFBLARGEWALL,"Large Wall"
STRWFBHESCOSITE,"Hesco Site"
STRWFBSANDBAGSITE,"Sandbag Site"
STRWFBNEST,"Nest"
STRWFBLOWNEST,"Low Nest"

STRWFBSMALLWALLGREEN,"Small Wall Green"
STRWFBMEDIUMWALLGREEN,"Medium Wall Green"
STRWFBLARGEWALLGREEN,"Large Wall Green"

STRWFBSMALLWALLRED,"Small Wall Red"
STRWFBMEDIUMWALLRED,"Medium Wall Red"
STRWFBLARGEWALLRED,"Large Wall Red"

STRWFBBARRACKS,"Barracks"
STRWFBLIGHTFACTORY,"Light Factory"
STRWFBHEAVYFACTORY,"Heavy Factory"
STRWFBAIRCRAFTFACTORY,"Aircraft Factory"
STRWFBAIRPORT,"Airport"
STRWFBHEADQUARTERS,"Headquarters"

STRWFBRESISTANCEM2,"M2 (RACS)"
STRWFBRESISTANCEMGNEST,"MG Nest (RACS)"
STRWFBRESISTANCEMGNESTGREEN,"MG Nest Green (RACS)"
STRWFBRESISTANCEMGNESTRED,"MG Nest Red (RACS)"

STRWFBWESTCONSTRUCTIONSITE,"Construction Site (US)"
STRWFBWESTBARRACKS,"Barracks (US)"
STRWFBWESTLIGHTFACTORY,"Light Factory (US)"
STRWFBWESTHEAVYFACTORY,"Heavy Factory (US)"
STRWFBWESTAIRCRAFTFACTORY,"Aircraft Factory (US)"
STRWFBWESTHQ,"Headquarters (US)"
STRWFBWESTMHQ,"Mobile HQ (US)"
STRWFBWESTNEST,"Nest (US)"
STRWFBWESTLOWNEST,"Low Nest (US)"

STRWFBWESTBARRACKSGREEN,"Barracks Green (US)"
STRWFBWESTLIGHTFACTORYGREEN,"Light Factory Green (US)"
STRWFBWESTHEAVYFACTORYGREEN,"Heavy Factory Green (US)"
STRWFBWESTAIRCRAFTFACTORYGREEN,"Aircraft Factory Green (US)"
STRWFBWESTHQGREEN,"Headquarters Green (US)"

STRWFBWESTBARRACKSRED,"Barracks Red (US)"
STRWFBWESTLIGHTFACTORYRED,"Light Factory Red (US)"
STRWFBWESTHEAVYFACTORYRED,"Heavy Factory Red (US)"
STRWFBWESTAIRCRAFTFACTORYRED,"Aircraft Factory Red (US)"
STRWFBWESTHQRED,"Headquarters Red (US)"

STRWFBEASTCONSTRUCTIONSITE,"Construction Site (SLA)"
STRWFBEASTBARRACKS,"Barracks (SLA)"
STRWFBEASTLIGHTFACTORY,"Light Factory (SLA)"
STRWFBEASTHEAVYFACTORY,"Heavy Factory (SLA)"
STRWFBEASTAIRCRAFTFACTORY,"Aircraft Factory (SLA)"
STRWFBEASTHQ,"Headquarters (SLA)"
STRWFBEASTNEST,"Nest (SLA)"
STRWFBEASTLOWNEST,"Low Nest (SLA)"
STRWFBEASTMGNEST,"MG Nest (SLA)"

STRWFBEASTBARRACKSGREEN,"Barracks Green (SLA)"
STRWFBEASTLIGHTFACTORYGREEN,"Light Factory Green (SLA)"
STRWFBEASTHEAVYFACTORYGREEN,"Heavy Factory Green (SLA)"
STRWFBEASTAIRCRAFTFACTORYGREEN,"Aircraft Factory Green (SLA)"
STRWFBEASTHQGREEN,"Headquarters Green (SLA)"

STRWFBEASTBARRACKSRED,"Barracks Red (SLA)"
STRWFBEASTLIGHTFACTORYRED,"Light Factory Red (SLA)"
STRWFBEASTHEAVYFACTORYRED,"Heavy Factory Red (SLA)"
STRWFBEASTAIRCRAFTFACTORYRED,"Aircraft Factory Red (SLA)"
STRWFBEASTHQRED,"Headquarters Red (SLA)"

STRWFBEASTMHQ,"Mobile HQ (SLA)"

STRWFBSALVAGETRUCK,"Salvage Truck"
STRWFBSALVAGEURAL,"Salvage Ural"

STRWFBSUPPLYTRUCK,"Supply Truck"
STRWFBSUPPLYURAL,"Supply Ural"

STRWFBCAMP,"Camp"
STRWFBCAMPGREEN,"Camp Green"
STRWFBCAMPRED,"Camp Red"
